knot,3-genus
m004,1
m015,1
m016,5
m032,1
m053,1
m071,11
m074,1
m082,8
m094,1
m103,15
m118,10
m144,11
m194,13
m198,13
m199,2
m201,2
m211,9
m222,2
m223,6
m224,2
m239,11
m240,12
m270,16
m276,18
m281,16
m289,2
m340,2
m372,1
m389,4
s016,1
s023,1
s042,21
s068,25
s086,14
s104,26
s114,31
s188,3
s194,3
s239,2
s294,17
s301,23
s308,23
s336,17
s344,24
s346,28
s367,22
s369,27
s384,7
s385,3
s407,29
s451,3
s526,3
s558,3
s560,15
s580,2
s582,18
s648,1
s652,9
s665,28
s682,9
s684,20
s704,2
s726,1
s769,29
s800,26
s836,4
s841,7
s849,13
s862,2
s870,2
s879,1
s912,2
v0016,1
v0025,1
v0082,31
v0114,35
v0165,17
v0220,47
v0223,52
v0249,16
v0319,24
v0321,4
v0329,4
v0330,23
v0398,34
v0407,36
v0424,33
v0434,41
v0497,44
v0521,3
v0535,4
v0545,14
v0554,25
v0570,33
v0573,33
v0595,3
v0600,4
v0656,5
v0707,23
v0709,22
v0715,46
v0740,28
v0741,54
v0759,34
v0765,32
v0830,19
v0847,33
v0912,39
v0939,27
v0945,43
v0959,8
v0960,4
v1063,4
v1077,49
v1109,50
v1126,5
v1217,4
v1243,4
v1269,21
v1300,24
v1348,5
v1359,22
v1392,25
v1423,19
v1425,15
v1434,5
v1547,28
v1565,21
v1620,24
v1628,33
v1690,32
v1709,35
v1716,29
v1718,37
v1728,28
v1810,38
v1811,4
v1832,31
v1839,50
v1915,12
v1921,40
v1935,4
v1940,42
v1964,2
v1966,49
v1971,4
v1980,17
v1986,39
v2001,1
v2024,42
v2090,50
v2166,3
v2191,10
v2215,30
v2217,10
v2257,1
v2272,2
v2284,1
v2290,19
v2325,36
v2362,1
v2384,10
v2488,2
v2508,3
v2520,2
v2543,2
v2552,4
v2553,3
v2623,3
v2624,4
v2642,5
v2743,1
v2759,27
v2851,8
v2858,3
v2861,1
v2869,3
v2871,8
v2888,7
v2894,3
v2900,23
v2925,12
v2930,30
v3070,26
v3081,7
v3093,2
v3105,14
v3169,1
v3195,3
v3199,7
v3234,15
v3310,2
v3320,3
v3335,15
v3354,44
v3356,8
v3423,2
v3482,19
v3505,2
v3536,2
v3541,5
t00017,1
t00027,1
t00110,41
t00146,45
t00324,20
t00423,68
t00434,73
t00550,31
t00565,5
t00577,5
t00621,39
t00729,44
t00787,55
t00826,64
t00855,69
t00873,61
t00932,72
t01033,43
t01037,43
t01039,4
t01125,53
t01142,4
t01216,57
t01235,7
t01268,73
t01292,69
t01318,47
t01342,8
t01368,53
t01409,82
t01422,29
t01424,90
t01440,34
t01598,73
t01636,71
t01646,82
t01690,84
t01757,46
t01779,5
t01815,26
t01834,53
t01850,44
t01863,55
t01901,3
t01949,52
t01966,29
t02019,4
t02069,3
t02099,37
t02104,49
t02188,4
t02238,62
t02275,5
t02276,9
t02378,69
t02398,71
t02404,51
t02470,71
t02537,70
t02567,71
t02599,7
t02634,8
t02639,86
t02789,5
t02795,5
t03106,30
t03566,45
t03592,7
t03607,60
t03608,2
t03709,54
t03710,27
t03713,46
t03781,30
t03843,24
t03864,53
t03956,38
t03979,47
t04003,49
t04019,32
t04102,50
t04180,48
t04228,63
t04244,77
t04359,8
t04364,5
t04382,66
t04449,18
t04507,3
t04557,15
t04651,2
t04721,60
t04756,36
t04875,8
t04927,34
t04928,7
t04986,13
t05074,1
t05118,78
t05239,71
t05252,1
t05269,2
t05288,7
t05390,43
t05399,10
t05425,46
t05426,84
t05538,40
t05564,54
t05578,71
t05658,45
t05663,58
t05674,57
t05695,46
t05803,1
t05899,1
t06001,54
t06119,2
t06161,2
t06246,43
t06316,3
t06440,65
t06463,86
t06525,56
t06570,68
t06573,11
t06605,86
t06637,36
t06715,16
t06925,6
t06957,42
t07070,16
t07094,7
t07104,13
t07123,7
t07168,4
t07281,3
t07348,33
t07355,14
t07412,24
t07452,4
t07487,8
t07550,7
t07579,5
t07599,2
t07658,4
t07670,19
t07682,1
t07687,4
t07693,8
t07734,1
t07944,18
t07967,10
t07979,4
t08111,27
t08114,12
t08173,5
t08184,37
t08201,34
t08237,10
t08267,56
t08273,21
t08306,1
t08307,3
t08346,3
t08386,5
t08387,3
t08403,44
t08443,5
t08508,5
t08532,21
t08576,37
t08617,1
t08767,22
t08838,14
t08898,17
t08917,4
t08936,23
t08967,3
t08973,13
t09016,56
t09126,29
t09218,7
t09267,48
t09279,11
t09284,10
t09313,63
t09359,4
t09450,27
t09455,51
t09500,18
t09580,48
t09612,3
t09613,3
t09633,18
t09690,40
t09704,77
t09734,2
t09735,2
t09772,8
t09847,7
t09852,28
t09859,3
t09882,9
t09900,2
t09901,2
t09912,21
t09927,2
t09954,32
t10177,41
t10188,21
t10215,18
t10224,16
t10230,27
t10262,19
t10292,23
t10407,10
t10416,1
t10462,52
t10496,12
t10499,3
t10500,3
t10558,5
t10620,6
t10643,59
t10645,4
t10664,12
t10681,79
t10832,17
t10887,4
t10930,3
t10932,3
t10944,14
t10974,4
t10985,76
t11034,3
t11055,8
t11139,6
t11198,26
t11248,3
t11291,2
t11292,5
t11333,14
t11376,20
t11402,3
t11418,4
t11441,2
t11460,13
t11462,3
t11489,4
t11497,4
t11532,3
t11548,25
t11556,25
t11558,14
t11577,1
t11618,6
t11675,3
t11748,2
t11751,3
t11752,4
t11795,5
t11798,4
t11799,3
t11814,2
t11852,32
t11887,25
t11888,7
t11898,1
t11900,4
t11909,20
t12120,3
t12154,6
t12180,4
t12198,6
t12199,7
t12200,3
t12229,12
t12247,5
t12270,2
t12271,2
t12288,38
t12308,5
t12344,4
t12350,4
t12376,5
t12388,3
t12395,2
t12456,13
t12533,12
t12587,3
t12607,2
t12630,3
t12656,2
t12679,6
t12681,22
t12748,2
t12753,37
t12755,8
t12756,5
t12757,4
o9_00017,1
o9_00022,1
o9_00133,51
o9_00168,55
o9_00644,23
o9_00797,89
o9_00815,94
o9_01024,6
o9_01035,6
o9_01079,46
o9_01175,54
o9_01436,65
o9_01496,76
o9_01584,92
o9_01621,97
o9_01680,89
o9_01765,100
o9_01936,22
o9_01953,53
o9_01955,53
o9_02030,5
o9_02163,5
o9_02255,98
o9_02340,102
o9_02350,118
o9_02383,35
o9_02386,114
o9_02471,10
o9_02559,11
o9_02655,83
o9_02696,89
o9_02706,118
o9_02735,126
o9_02772,39
o9_02786,35
o9_02794,40
o9_02873,7
o9_02909,20
o9_03032,61
o9_03108,41
o9_03118,128
o9_03133,66
o9_03149,137
o9_03162,126
o9_03188,139
o9_03278,7
o9_03288,67
o9_03313,89
o9_03412,88
o9_03420,10
o9_03526,35
o9_03586,67
o9_03597,7
o9_03622,74
o9_03802,64
o9_03833,59
o9_03862,8
o9_03932,56
o9_04037,5
o9_04054,29
o9_04060,39
o9_04106,89
o9_04139,6
o9_04205,98
o9_04245,101
o9_04269,47
o9_04313,105
o9_04431,117
o9_04435,68
o9_04438,121
o9_04938,41
o9_04950,5
o9_05021,90
o9_05028,6
o9_05177,99
o9_05229,87
o9_05286,6
o9_05287,10
o9_05357,91
o9_05426,91
o9_05483,92
o9_05562,103
o9_05564,10
o9_05618,100
o9_05624,11
o9_05860,100
o9_05970,119
o9_06060,85
o9_06128,116
o9_06154,87
o9_06248,124
o9_06301,141
o9_06369,6
o9_06393,6
o9_06956,42
o9_07044,58
o9_07152,60
o9_07167,30
o9_07195,66
o9_07401,47
o9_07674,8
o9_07761,9
o9_07790,63
o9_07893,86
o9_07943,66
o9_07945,101
o9_08006,92
o9_08042,75
o9_08160,13
o9_08179,13
o9_08224,67
o9_08268,15
o9_08280,15
o9_08302,74
o9_08402,33
o9_08477,36
o9_08497,31
o9_08647,119
o9_08765,70
o9_08767,10
o9_08771,141
o9_08776,120
o9_08828,104
o9_08831,71
o9_08852,140
o9_08875,118
o9_09052,28
o9_09213,58
o9_09214,2
o9_09271,33
o9_09372,57
o9_09408,6
o9_09465,94
o9_09486,9
o9_09530,4
o9_09648,13
o9_09731,26
o9_09808,128
o9_10020,18
o9_10192,51
o9_10213,38
o9_10288,6
o9_10598,16
o9_10654,1
o9_10696,42
o9_10817,1
o9_11002,44
o9_11100,49
o9_11161,9
o9_11248,73
o9_11270,11
o9_11288,13
o9_11413,11
o9_11467,126
o9_11490,16
o9_11537,51
o9_11541,21
o9_11556,51
o9_11560,139
o9_11570,67
o9_11577,10
o9_11658,49
o9_11685,56
o9_11795,52
o9_11845,53
o9_11999,111
o9_12079,69
o9_12144,90
o9_12230,100
o9_12253,34
o9_12412,70
o9_12414,6
o9_12459,61
o9_12477,58
o9_12519,50
o9_12693,42
o9_12736,76
o9_12757,56
o9_12773,2
o9_12797,15
o9_12873,115
o9_12892,72
o9_12919,72
o9_12971,61
o9_13052,72
o9_13054,40
o9_13056,95
o9_13125,75
o9_13126,15
o9_13136,2
o9_13141,1
o9_13182,58
o9_13188,69
o9_13240,9
o9_13273,1
o9_13342,8
o9_13400,80
o9_13403,83
o9_13433,90
o9_13508,102
o9_13537,83
o9_13604,72
o9_13638,2
o9_13639,75
o9_13649,68
o9_13666,82
o9_13720,105
o9_13732,2
o9_13952,100
o9_14018,120
o9_14079,98
o9_14108,45
o9_14136,58
o9_14359,62
o9_14364,59
o9_14376,111
o9_14495,74
o9_14599,111
o9_14716,81
o9_14831,32
o9_14974,88
o9_15506,87
o9_15633,97
o9_15808,27
o9_15997,124
o9_16033,10
o9_16065,145
o9_16141,132
o9_16157,122
o9_16181,122
o9_16248,4
o9_16319,122
o9_16356,93
o9_16431,64
o9_16514,30
o9_16527,96
o9_16642,133
o9_16685,12
o9_16748,77
o9_16874,5
o9_16920,45
o9_16941,10
o9_16959,13
o9_16991,10
o9_17382,55
o9_17388,2
o9_17450,77
o9_17646,20
o9_18007,66
o9_18054,2
o9_18181,9
o9_18209,75
o9_18341,16
o9_18633,78
o9_18646,26
o9_18772,4
o9_18813,58
o9_18905,5
o9_18931,5
o9_18946,5
o9_19031,3
o9_19130,48
o9_19200,5
o9_19247,46
o9_19326,1
o9_19364,14
o9_19396,19
o9_19645,45
o9_19660,10
o9_19721,13
o9_19724,58
o9_19831,1
o9_20029,68
o9_20180,4
o9_20219,80
o9_20305,31
o9_20364,54
o9_20397,1
o9_20458,1
o9_20472,55
o9_20617,7
o9_20656,7
o9_20894,2
o9_20956,8
o9_21066,3
o9_21103,7
o9_21116,3
o9_21195,55
o9_21236,13
o9_21496,29
o9_21513,55
o9_21545,6
o9_21620,51
o9_21697,15
o9_21704,33
o9_21722,9
o9_21786,8
o9_21893,36
o9_21905,6
o9_21918,37
o9_21927,4
o9_21958,4
o9_21992,6
o9_22066,1
o9_22100,37
o9_22129,51
o9_22148,20
o9_22182,3
o9_22199,3
o9_22252,71
o9_22266,19
o9_22337,3
o9_22477,38
o9_22550,7
o9_22607,46
o9_22663,58
o9_22698,80
o9_22790,7
o9_22883,8
o9_22925,48
o9_22951,3
o9_23023,92
o9_23032,21
o9_23069,7
o9_23094,1
o9_23147,4
o9_23178,6
o9_23179,39
o9_23263,73
o9_23461,42
o9_23571,10
o9_23646,12
o9_23660,82
o9_23723,52
o9_23786,4
o9_23955,69
o9_23961,75
o9_23971,30
o9_23977,73
o9_24030,9
o9_24047,14
o9_24069,57
o9_24126,68
o9_24149,72
o9_24183,133
o9_24290,24
o9_24293,1
o9_24401,19
o9_24407,47
o9_24510,27
o9_24518,15
o9_24534,54
o9_24592,39
o9_24667,3
o9_24670,1
o9_24779,39
o9_24886,127
o9_24889,99
o9_24946,22
o9_25096,3
o9_25106,8
o9_25110,41
o9_25199,25
o9_25283,5
o9_25341,24
o9_25345,16
o9_25444,27
o9_25595,57
o9_25709,13
o9_25832,27
o9_25878,10
o9_26120,13
o9_26141,51
o9_26170,8
o9_26471,24
o9_26570,36
o9_26604,59
o9_26767,15
o9_26774,3
o9_26791,74
o9_26913,10
o9_27046,28
o9_27079,3
o9_27107,23
o9_27155,69
o9_27165,3
o9_27215,4
o9_27243,11
o9_27261,84
o9_27286,6
o9_27371,56
o9_27392,84
o9_27429,64
o9_27480,67
o9_27542,2
o9_27737,69
o9_27767,65
o9_27889,17
o9_27893,8
o9_28070,13
o9_28113,74
o9_28149,11
o9_28153,84
o9_28207,4
o9_28230,9
o9_28284,44
o9_28354,9
o9_28529,108
o9_28592,86
o9_28622,13
o9_28746,81
o9_28751,51
o9_28810,88
o9_28874,4
o9_28929,4
o9_29048,17
o9_29141,5
o9_29246,105
o9_29278,22
o9_29367,11
o9_29436,107
o9_29484,24
o9_29529,63
o9_29551,49
o9_29648,44
o9_29662,5
o9_29669,4
o9_29698,7
o9_29751,27
o9_29766,18
o9_29799,14
o9_29916,7
o9_29972,4
o9_29992,5
o9_30018,4
o9_30040,7
o9_30087,5
o9_30142,62
o9_30147,6
o9_30150,34
o9_30281,16
o9_30324,17
o9_30375,86
o9_30430,4
o9_30499,6
o9_30502,8
o9_30542,3
o9_30564,6
o9_30634,6
o9_30650,21
o9_30696,4
o9_30721,55
o9_30790,114
o9_30978,15
o9_31036,5
o9_31042,8
o9_31165,88
o9_31228,11
o9_31267,34
o9_31294,8
o9_31310,11
o9_31321,20
o9_31430,9
o9_31440,43
o9_31472,6
o9_31481,30
o9_31692,20
o9_31828,2
o9_31868,4
o9_31935,6
o9_31955,9
o9_31967,23
o9_31990,1
o9_32028,9
o9_32044,14
o9_32065,43
o9_32132,34
o9_32150,31
o9_32208,4
o9_32257,39
o9_32314,31
o9_32471,28
o9_32570,11
o9_32588,31
o9_32687,6
o9_32739,38
o9_32964,18
o9_32994,9
o9_33067,1
o9_33111,7
o9_33112,4
o9_33189,26
o9_33262,4
o9_33263,4
o9_33284,61
o9_33363,4
o9_33380,20
o9_33430,25
o9_33432,6
o9_33452,7
o9_33470,19
o9_33486,70
o9_33526,35
o9_33529,11
o9_33568,2
o9_33585,50
o9_33783,8
o9_33801,38
o9_33833,2
o9_33834,2
o9_33944,26
o9_33950,12
o9_33959,39
o9_33966,2
o9_33967,2
o9_34000,43
o9_34097,2
o9_34182,5
o9_34316,7
o9_34323,1
o9_34336,8
o9_34379,6
o9_34403,46
o9_34409,15
o9_34450,8
o9_34561,6
o9_34625,7
o9_34671,7
o9_34676,3
o9_34689,35
o9_34700,1
o9_34743,3
o9_34801,2
o9_34818,2
o9_34908,2
o9_34949,3
o9_35003,6
o9_35090,5
o9_35240,4
o9_35320,47
o9_35376,18
o9_35549,134
o9_35666,34
o9_35678,4
o9_35682,43
o9_35720,30
o9_35736,131
o9_35772,42
o9_35778,4
o9_35831,24
o9_35928,22
o9_35997,3
o9_35998,4
o9_36089,4
o9_36090,3
o9_36114,43
o9_36180,1
o9_36215,11
o9_36250,32
o9_36258,4
o9_36259,4
o9_36297,22
o9_36320,4
o9_36357,4
o9_36380,59
o9_36411,22
o9_36435,10
o9_36459,4
o9_36544,31
o9_36696,4
o9_36697,4
o9_36809,22
o9_36811,17
o9_36873,7
o9_36955,1
o9_36958,22
o9_37005,12
o9_37028,5
o9_37050,67
o9_37080,2
o9_37142,6
o9_37162,5
o9_37291,41
o9_37482,36
o9_37485,2
o9_37547,2
o9_37551,18
o9_37563,3
o9_37618,4
o9_37685,22
o9_37731,2
o9_37732,2
o9_37751,31
o9_37754,40
o9_37761,5
o9_37768,2
o9_37770,2
o9_37795,1
o9_37851,41
o9_37876,8
o9_37891,15
o9_37895,9
o9_37941,47
o9_38014,4
o9_38190,7
o9_38287,29
o9_38344,22
o9_38364,2
o9_38471,4
o9_38560,9
o9_38598,18
o9_38600,4
o9_38623,4
o9_38639,7
o9_38679,53
o9_38681,8
o9_38702,3
o9_38780,7
o9_38811,30
o9_38928,19
o9_38945,11
o9_38975,3
o9_38989,33
o9_39162,24
o9_39163,10
o9_39266,7
o9_39277,3
o9_39285,1
o9_39339,1
o9_39369,6
o9_39394,57
o9_39395,5
o9_39430,5
o9_39433,3
o9_39451,41
o9_39519,3
o9_39521,52
o9_39551,6
o9_39591,3
o9_39592,17
o9_39606,23
o9_39608,23
o9_39746,5
o9_39754,13
o9_39806,3
o9_39859,26
o9_39879,21
o9_39887,5
o9_39926,20
o9_39930,6
o9_39967,4
o9_39973,9
o9_39974,6
o9_39981,19
o9_40024,3
o9_40026,19
o9_40052,36
o9_40063,5
o9_40064,2
o9_40073,14
o9_40075,36
o9_40076,3
o9_40081,2
o9_40130,8
o9_40154,8
o9_40171,4
o9_40179,54
o9_40192,5
o9_40215,9
o9_40245,11
o9_40284,9
o9_40291,3
o9_40361,1
o9_40363,33
o9_40390,4
o9_40449,1
o9_40484,2
o9_40485,2
o9_40487,14
o9_40504,21
o9_40519,3
o9_40522,4
o9_40547,7
o9_40568,2
o9_40582,16
o9_40803,4
o9_40873,4
o9_40901,22
o9_41058,4
o9_41144,23
o9_41263,4
o9_41312,3
o9_41372,34
o9_41388,6
o9_41428,14
o9_41610,5
o9_41611,2
o9_41621,15
o9_41633,10
o9_41677,5
o9_41678,9
o9_41909,2
o9_41980,9
o9_41995,3
o9_42189,4
o9_42190,4
o9_42220,4
o9_42224,30
o9_42258,2
o9_42277,3
o9_42296,5
o9_42320,4
o9_42352,16
o9_42411,4
o9_42429,6
o9_42430,10
o9_42467,2
o9_42493,32
o9_42511,6
o9_42515,2
o9_42607,5
o9_42660,3
o9_42675,16
o9_42714,4
o9_42735,2
o9_42757,13
o9_42936,5
o9_42942,11
o9_42960,8
o9_42961,21
o9_42963,3
o9_42973,5
o9_42974,3
o9_42999,5
o9_43001,46
o9_43197,6
o9_43369,2
o9_43407,3
o9_43443,8
o9_43446,3
o9_43481,5
o9_43566,5
o9_43567,9
o9_43592,2
o9_43607,9
o9_43608,5
o9_43609,4
o9_43649,13
o9_43679,58
o9_43730,3
o9_43750,30
o9_43759,11
o9_43760,7
o9_43771,2
o9_43778,9
o9_43857,27
o9_43859,5
o9_43874,3
o9_43876,2
o9_43946,6
o9_43953,48
o9_44048,6
o9_44054,52
o9_44057,2
o9_44184,3
